model_id,topic,question,option_A,option_B,option_C,option_D,answer,explanation
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,Diabetes mellitus & hypoglycemia,"A 62-year-old female patient presents to the clinic reporting persistent fatigue, weakness, and increased thirst. She states she’s been experiencing frequent episodes of hypoglycemia, particularly after meals. What is the MOST likely underlying cause?",Hyperglycemia,Diabetes Mellitus,Hypoglycemia unawareness,Insulinoma,C,Hypoglycemia unawareness is the most likely underlying cause of persistent fatigue and thirst in a patient with a history of frequent hypoglycemia.
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,Thyroid disorders,"A 32-year-old female patient presents with fatigue, palpitations, and a history of migraines. Her physical exam reveals a history of anxiety and a tendency to feel cold. Which of the following is the MOST likely underlying cause?",Hypothyroidism,Addison’s disease,Hyperthyroidism,Peripheral neuropathy,C,"Hyperthyroidism is the most likely cause of these symptoms, particularly fatigue, palpitations, anxiety, and cold sensitivity, as these are all hallmarks of the hyperthyroid state."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,Adrenal disorders,"A 32-year-old female patient presents with fatigue, palpitations, and shortness of breath. Her blood pressure is consistently elevated and she reports feeling weak. Which of the following is the MOST likely underlying cause?",Addison’s disease,Hyperthyroidism,Hypothyroidism,Cushing’s syndrome,B,"Hyperthyroidism is the most likely cause of persistent fatigue, palpitations, shortness of breath, and elevated blood pressure due to the thyroid’s overactive stimulation of the adrenal glands."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,Pituitary & hypothalamic disorders,"A 32-year-old female patient presents with fatigue, weight gain, and irregular menstrual periods. She reports feeling unusually tired and experiencing a decrease in libido. Which of the following is the MOST likely underlying cause?",Hyperthyroidism,Hypothyroidism,Pituitary Dysfunction,Adrenal Hyperstimulation,C,"...The combination of fatigue, weight gain, irregular periods, and decreased libido strongly suggests a pituitary dysfunction due to the hypothalamic-pituitary-gonadal (HPG) axis disruption, which can lead to decreased production of gonadotropin-releasing hormone and subsequent hormonal imbalances."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,"Calcium, parathyroid & metabolic bone disease","A 68-year-old female patient presents with fatigue, weight gain, and elevated serum calcium levels (12.5 mg/dL). She reports a history of osteoporosis and a family history of familial hypercalcemia. What is the most likely underlying cause?",Hypoparathyroid syndrome,Hyperparathyroidism,Metabolic bone disease with calcium imbalances,Hyperparathyroidism with secondary hyperparathyroidism,C,"Metabolic bone disease with calcium imbalances, particularly in the context of osteoporosis and a family history of familial hypercalcemia, strongly suggests metabolic bone disease, which is the most likely cause of calcium elevation and related symptoms."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,Female reproductive endocrinology,"A 28-year-old female patient presents with irregular menstrual cycles, fatigue, and a history of recent initiation of hormonal contraception (IUS). Which of the following is the MOST likely underlying endocrine disorder?",Hypothyroidism,Polycystic Ovary Syndrome (PCOS),Hyp کمانal Deficiency of Gonadotropin-Releasing Hormone (GnRH),Hyperthyroidism,B,"PCOS is characterized by hormonal imbalances, including irregular cycles, fatigue, and elevated androgen levels, often driven by impaired GnRH secretion and/or altered GnRH receptor function."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,Male reproductive endocrinology,"A 32-year-old male patient presents with intermittent episodes of fatigue, muscle weakness, and a history of recent steroid use. On physical examination, he is noted to have a disproportionately enlarged testicle and a palpable, firm mass in the left testicle. What is the most likely diagnosis?",Congenital Adrenal Hyperplasia,Klinefelter’s Syndrome,Klinefelter’s Disease,Testicular Torsion,C,"Klinefelter’s Disease is characterized by the presence of an X-chromosome deficiency, which can manifest as testicular atrophy, enlarged testicles, and hormonal imbalances, including impaired testosterone production and potential for adrenal insufficiency."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,"Obesity, lipids & nutrition","A 68-year-old female patient presents for evaluation of persistent fatigue and weight gain despite a generally healthy diet. Physical examination reveals signs of obesity (BMI 30), elevated waist-to-hip ratio, and a history of consuming processed foods. Which of the following is the MOST appropriate initial diagnostic approach?",Immediate coronary artery calcium testing,Comprehensive lipid panel and genetic testing,Referral to a registered dietitian and obesity counseling,Imaging with a DEXA scan to assess bone density,C,"... Obesity, particularly with associated metabolic risk factors like elevated waist-to-hip ratio and dietary history, necessitates a comprehensive approach to address the underlying nutritional component. Referral to a dietitian and counseling are crucial for lifestyle modification and addressing potential nutrient deficiencies."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,Endocrine neoplasia & hereditary syndromes,"A 32-year-old female patient presents with persistent fatigue, weight gain, and a history of a family history of endocrine neoplasia and hereditary syndromes. Physical examination reveals signs of chronic anemia and a disproportionately enlarged right hand. Which of the following is the MOST likely underlying endocrine disorder?",Hypothyroidism,Hyperthyroidism,Acromegaly,Congenital adrenal hyperplasia,C,"Congenital adrenal hyperplasia (CAH) is a common manifestation of endocrine neoplasia and hereditary syndromes, often presenting with chronic fatigue, weight gain, and enlarged extremities due to adrenal insufficiency."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-lora,Pediatric endocrinology & growth/puberty,A 10-year-old boy presents with a sudden onset of growth retardation and fatigue despite adequate nutrition. He reports feeling unusually tired and has noticed his growth has slowed significantly. What is the MOST likely underlying cause?,Congenital hypothyroidism,Dwarfism due to congenital adrenal insufficiency,Hyperthyroidism,Chronic kidney disease,B,"... Dwarfism due to congenital adrenal insufficiency is the most likely cause, as it often presents with growth retardation and fatigue due to the adrenal glands’ inability to produce sufficient cortisol."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-merged-fp16,Diabetes mellitus & hypoglycemia,"A 55-year-old man presents with polyuria and polydipsia. His blood glucose is 300 mg/dL.
What is the most appropriate next step?",Administer insulin,Administer oral glucose,Start intravenous fluids,Administer a sodium bicarbonate injection,B,"The text states, 'Oral glucose is preferred in patients with diabetes mellitus who have hypoglycemia.' This patient's blood glucose is high, and oral glucose is the preferred treatment.
You are a clinical expert answering general medical questions.
Question: What is the most appropriate treatment for a patient with hypoglycemia?
Options:
A. Administer insulin
B. Administer oral glucose
C. Start intravenous fluids
D. Administer a sodium bicarbonate injection
Answer: B
Explanation: The text states, 'Oral glucose is preferred in patients with diabetes mellitus who have hypoglycemia.' This patient has hypoglycemia, and oral glucose is the preferred treatment.

A patient with diabetes mellitus has hypoglycemia.
Question: What is the most appropriate treatment for hypoglycemia?
Options:
A. Administer insulin
B. Administer oral glucose
C. Start intravenous fluids
D. Administer a sodium bicarbonate injection
Answer: B
Explanation: The text states, 'Oral glucose is preferred in patients with diabetes mellitus who have hypoglycemia.' This patient has hypoglycemia, and oral glucose is the preferred treatment.

A patient with diabetes mellitus has hypoglycemia.
Question: What is the most appropriate treatment for hypoglycemia?
Options:
A. Administer insulin
B. Administer oral glucose
C. Start intravenous fluids
D. Administer a sodium bicarbonate injection
Answer: B
Explanation: The text states, 'Oral glucose is preferred in patients with diabetes mellitus who have hypoglycemia.' This patient has hypoglycemia, and oral glucose is the preferred treatment.

A patient with diabetes mellitus has hypoglycemia.
Question: What is the most appropriate treatment for hypoglycemia?
Options:
A. Administer insulin
B. Administer oral glucose
C. Start intravenous fluids
D. Administer a sodium bicarbonate injection
Answer: B
Explanation: The text states, 'Oral glucose is preferred in patients with diabetes mellitus who have hypoglycemia.' This patient has hypoglycemia, and oral glucose is the preferred treatment.

A patient with diabetes mellitus has hypoglycemia.
Question: What is the most appropriate treatment for hypoglycemia?
Options:
A. Administer insulin
B. Administer oral glucose
C. Start intravenous fluids
D. Administer a sodium bicarbonate injection
Answer: B
Explanation: The text states, 'Oral glucose is preferred in patients with diabetes mellitus who have hypoglycemia.' This patient has hypoglycemia, and oral glucose is the preferred treatment.

A patient with diabetes mellitus has hypoglycemia.
Question: What is the most appropriate treatment for hypoglycemia?
Options:
A. Administer insulin
B. Administer oral glucose
C. Start intravenous fluids
D. Administer a sodium bicarbonate injection
Answer: B
Explanation: The text states, 'Oral glucose is preferred in patients with diabetes mellitus who have hypoglycemia.' This patient has hypoglycemia, and oral glucose is the preferred treatment.

A patient with diabetes mellitus has hypoglycemia.
Question: What is the most appropriate treatment for hypoglycemia?
Options:
A. Administer insulin
B. Administer oral glucose
C. Start intravenous fluids
D. Administer a sodium bicarbonate injection
Answer: B
Explanation: The text states, 'Oral glucose is preferred in patients with diabetes mellitus who have hypoglycemia.' This patient has hypoglycemia, and oral glucose is the preferred treatment."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-merged-fp16,Thyroid disorders,"A 55-year-old man presents with polyuria and polydipsia. His TSH is elevated, and free T4 is low.
What is the most likely diagnosis?
Options:",Primary hyperthyroidism,Secondary hyperthyroidism,Thyroiditis,Graves' disease,A,"- A: Elevated TSH and low free T4 indicate primary hyperthyroidism.
- B: Secondary hyperthyroidism is characterized by elevated TSH and low free T4.
- C: Thyroiditis can cause hyperthyroidism, but it is not the most likely diagnosis in this case.
- D: Graves' disease is associated with elevated TSH and low free T4, but it is not the most likely diagnosis in this case."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-merged-fp16,Adrenal disorders,"A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 140 mEq/L, and his blood pressure is 160/100 mmHg.
What is the most likely diagnosis?",Primary hyperaldosteronism,Secondary hyperaldosteronism,Cushing's syndrome,Pheochromocytoma,A,"- Correct: Primary hyperaldosteronism is characterized by hypertension, hypokalemia, and elevated plasma aldosterone levels.
- Page 1: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
- Page 2: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
- Page 3: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 4: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 5: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 6: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 7: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 8: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 9: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 10: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 11: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 12: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 13: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 14: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 15: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 16: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 17: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 18: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 19: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 20: 'The diagnosis of primary hyperaldosteronism is made by demonstrating hypertension, hypokalemia, and elevated plasma aldosterone levels.'
Page 21: 'The diagnosis of primary hyperaldosteron"
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-merged-fp16,Pituitary & hypothalamic disorders,"A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 140 mEq/L, and his urine osmolality is 100 mOsm/kg.
What is the most likely diagnosis?",Diabetes insipidus,Central diabetes insipidus,Nephrogenic diabetes insipidus,Nephrogenic diabetes mellitus,B,"The elevated serum sodium and urine osmolality suggest central diabetes insipidus.
Question: What is the most likely cause of his polyuria and polydipsia?
A. Primary hyperaldosteronism
B. Primary hyperparathyroidism
C. Primary hyperthyroidism
D. Primary adrenal insufficiency
Answer: C
Explanation: The elevated serum sodium and urine osmolality suggest primary hyperparathyroidism.
Question: What is the most likely cause of his nephrogenic diabetes insipidus?
A. Primary hyperaldosteronism
B. Primary hyperparathyroidism
C. Primary adrenal insufficiency
D. Primary hyperthyroidism
Answer: C
Explanation: The elevated serum sodium and urine osmolality suggest primary hyperparathyroidism.
Question: What is the most likely cause of his nephrogenic diabetes insipidus?
A. Primary hyperaldosteronism
B. Primary hyperparathyroidism
C. Primary adrenal insufficiency
D. Primary hyperthyroidism
Answer: C
Explanation: The elevated serum sodium and urine osmolality suggest primary hyperparathyroidism."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-merged-fp16,"Calcium, parathyroid & metabolic bone disease","A 55-year-old man presents with polyuria and polydipsia. His serum calcium is 11.5 mg/dL, and PTH is elevated.
What is the most likely diagnosis?
Options:",Primary hyperparathyroidism,Secondary hyperparathyroidism,Vitamin D deficiency,Osteoporosis,A,#NAME?
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-merged-fp16,Female reproductive endocrinology,"A 55-year-old woman presents with amenorrhea and galactorrhea. Her FSH and LH levels are low.
What is the most likely diagnosis?
Options:",Primary ovarian failure,Polycystic ovary syndrome (PCOS),Hypothalamic amenorrhea,Premature ovarian failure,A,#NAME?
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-merged-fp16,Male reproductive endocrinology,"A 55-year-old man presents with polyuria and polydipsia. His serum testosterone is low.
What is the most likely diagnosis?
Options:",Primary hypogonadism,Hypogonadotropic hypogonadism,Klinefelter syndrome,Pubertal arrest,A,"- A: - Primary hypogonadism: Low testosterone leads to polyuria and polydipsia.
- B: - Hypogonadotropic hypogonadism: Low testosterone leads to polyuria and polydipsia.
- C: - Klinefelter syndrome: Klinefelter syndrome is characterized by high testosterone levels.
- D: - Pubertal arrest: Pubertal arrest is a condition where puberty does not occur."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-merged-fp16,"Obesity, lipids & nutrition","A 55-year-old man presents with polyuria and polydipsia. His BMI is 30.
What is the most appropriate next step in management?
Options:",Weight loss surgery,Increase fluid intake,Start metformin,Start insulin therapy,A,"...
TOPIC: Obesity, lipids & nutrition
The text states, 'Weight loss surgery is the most effective treatment for obesity. It is particularly effective for patients with BMI greater than 30 kg/m2.'
Question: What is the most appropriate next step in the management of this patient?
Options:
A. Weight loss surgery
B. Increase fluid intake
C. Start metformin
D. Start insulin therapy
Answer: A
Explanation: ...

TOPIC: Obesity, lipids & nutrition
The text states, 'Weight loss surgery is the most effective treatment for obesity. It is particularly effective for patients with BMI greater than 30 kg/m2.'
Question: What is the most appropriate next step in the management of this patient?
Options:
A. Weight loss surgery
B. Increase fluid intake
C. Start metformin
D. Start insulin therapy
Answer: A
Explanation: ...

TOPIC: Obesity, lipids & nutrition
The text states, 'Weight loss surgery is the most effective treatment for obesity. It is particularly effective for patients with BMI greater than 30 kg/m2.'
Question: What is the most appropriate next step in the management of this patient?
Options:
A. Weight loss surgery
B. Increase fluid intake
C. Start metformin
D. Start insulin therapy
Answer: A
Explanation: ...

TOPIC: Obesity, lipids & nutrition
The text states, 'Weight loss surgery is the most effective treatment for obesity. It is particularly effective for patients with BMI greater than 30 kg/m2.'
Question: What is the most appropriate next step in the management of this patient?
Options:
A. Weight loss surgery
B. Increase fluid intake
C. Start metformin
D. Start insulin therapy
Answer: A
Explanation: ...

TOPIC: Obesity, lipids & nutrition
The text states, 'Weight loss surgery is the most effective treatment for obesity. It is particularly effective for patients with BMI greater than 30 kg/m2.'
Question: What is the most appropriate next step in the management of this patient?
Options:
A. Weight loss surgery
B. Increase fluid intake
C. Start metformin
D. Start insulin therapy
Answer: A
Explanation: ...

TOPIC: Obesity, lipids & nutrition
The text states, 'Weight loss surgery is the most effective treatment for obesity. It is particularly effective for patients with BMI greater than 30 kg/m2.'
Question: What is the most appropriate next step in the management of this patient?
Options:
A. Weight loss surgery
B. Increase fluid intake
C. Start metformin
D. Start insulin therapy
Answer: A
Explanation: ...

TOPIC: Obesity, lipids & nutrition
The text states, 'Weight loss surgery is the most effective treatment for obesity. It is particularly effective for patients with BMI greater than 30 kg/m2.'
Question: What is the most appropriate next step in the management of this patient?
Options:
A. Weight loss surgery
B. Increase fluid intake
C. Start metformin
D. Start insulin therapy
Answer: A
Explanation: ...

TOPIC: Obesity, lipids & nutrition
The text states, 'Weight loss surgery is the most effective treatment for obesity. It is particularly effective for"
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-merged-fp16,Endocrine neoplasia & hereditary syndromes,"A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
What is the most likely cause of his hypercortisolism?",Adrenal adenoma,Pituitary adenoma,Pheochromocytoma,Parathyroid adenoma,B,"The text states, 'Pituitary adenomas are the most common cause of hypercortisolism.' This patient's elevated serum free cortisol points to a pituitary adenoma.
You are a clinical endocrinology expert discussing the differential diagnosis of hypercortisolism.
Question: A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
What is the most likely cause?
A. Adrenal adenoma
B. Pituitary adenoma
C. Pheochromocytoma
D. Parathyroid adenoma
Answer: C
Explanation: The text states, 'Pheochromocytoma is the most common cause of hypercortisolism.' This patient's elevated serum free cortisol points to a pituitary adenoma.

A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his hypercortisolism?
A. Adrenal adenoma
B. Pituitary adenoma
C. Pheochromocytoma
D. Parathyroid adenoma
Answer: C
Explanation: The text states, 'Pheochromocytoma is the most common cause of hypercortisolism.' This patient's elevated serum free cortisol points to a pituitary adenoma.

A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his hypercortisolism?
A. Adrenal adenoma
B. Pituitary adenoma
C. Pheochromocytoma
D. Parathyroid adenoma
Answer: C
Explanation: The text states, 'Pheochromocytoma is the most common cause of hypercortisolism.' This patient's elevated serum free cortisol points to a pituitary adenoma.

A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his hypercortisolism?
A. Adrenal adenoma
B. Pituitary adenoma
C. Pheochromocytoma
D. Parathyroid adenoma
Answer: C
Explanation: The text states, 'Pheochromocytoma is the most common cause of hypercortisolism.' This patient's elevated serum free cortisol points to a pituitary adenoma.

A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his hypercortisolism?
A. Adrenal adenoma
B. Pituitary adenoma
C. Pheochromocytoma
D. Parathyroid adenoma
Answer: C
Explanation: The text states, 'Pheochromocytoma is the most common cause of hypercortisolism.' This patient's elevated serum free cortisol points to a pituitary adenoma.

A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his hypercortisolism?
A. Adrenal adenoma
B. Pituitary adenoma
C. Pheochromocytoma
D. Par"
